Date,6758.T_Close
2015-12-10,3005.0
2015-12-11,3041.0
2015-12-14,3016.0
2015-12-15,2950.5
2015-12-16,3007.0
2015-12-17,3078.0
2015-12-18,2998.5
2015-12-21,2943.0
2015-12-22,2913.0
2015-12-24,2950.0
2015-12-25,2950.0
2015-12-28,2983.0
2015-12-29,2978.0
2015-12-30,3002.0
2016-01-04,2957.0
2016-01-05,2962.5
2016-01-06,2897.5
2016-01-07,2796.5
2016-01-08,2824.5
2016-01-12,2675.0
2016-01-13,2750.0
2016-01-14,2622.0
2016-01-15,2582.5
2016-01-18,2622.5
2016-01-19,2666.5
2016-01-20,2454.0
2016-01-21,2430.5
2016-01-22,2528.5
2016-01-25,2538.0
2016-01-26,2430.0
2016-01-27,2512.0
2016-01-28,2378.0
2016-01-29,2523.0
2016-02-01,2836.0
2016-02-02,2692.5
2016-02-03,2623.5
2016-02-04,2620.5
2016-02-05,2615.0
2016-02-08,2569.0
2016-02-09,2388.5
2016-02-10,2341.0
2016-02-12,2257.0
2016-02-15,2447.0
2016-02-16,2483.5
2016-02-17,2481.0
2016-02-18,2569.0
2016-02-19,2503.5
2016-02-22,2488.0
2016-02-23,2435.5
2016-02-24,2398.5
2016-02-25,2383.0
2016-02-26,2387.0
2016-02-29,2387.0
2016-03-01,2367.5
2016-03-02,2491.5
2016-03-03,2520.0
2016-03-04,2592.5
2016-03-07,2614.5
2016-03-08,2569.5
2016-03-09,2632.0
2016-03-10,2743.5
2016-03-11,2752.5
2016-03-14,2798.5
2016-03-15,2794.0
2016-03-16,2883.0
2016-03-17,2923.0
2016-03-18,2936.0
2016-03-22,2937.0
2016-03-23,2910.0
2016-03-24,2863.0
2016-03-25,2896.0
2016-03-28,2924.0
2016-03-29,2943.5
2016-03-30,2873.0
2016-03-31,2893.0
2016-04-01,2762.5
2016-04-04,2860.5
2016-04-05,2882.5
2016-04-06,2850.0
2016-04-07,2820.0
2016-04-08,2858.5
2016-04-11,2965.0
2016-04-12,3032.0
2016-04-13,3020.0
2016-04-14,3032.0
2016-04-15,2935.0
2016-04-18,2736.0
2016-04-19,2913.5
2016-04-20,3027.0
2016-04-21,3070.0
2016-04-22,3017.0
2016-04-25,2835.5
2016-04-26,2850.0
2016-04-27,2837.0
2016-04-28,2778.0
2016-05-02,2666.5
2016-05-06,2563.5
2016-05-09,2603.5
2016-05-10,2681.5
2016-05-11,2730.0
2016-05-12,2850.0
2016-05-13,2897.0
2016-05-16,2860.0
2016-05-17,2863.5
2016-05-18,2944.0
2016-05-19,2882.5
2016-05-20,2917.0
2016-05-23,2903.5
2016-05-24,2885.5
2016-05-25,3072.0
2016-05-26,3072.0
2016-05-27,3078.0
2016-05-30,3082.0
2016-05-31,3100.0
2016-06-01,3073.0
2016-06-02,3023.0
